Коди помилок Код помилки 	Error text 	Текст помилки (UA)
20000500630 	StreetDescription can not by empty 	Опис вулиці не повинен бути порожнім
20000500631 	StreetDescription is invalid 	Опис вулиці неправильний
20000500632 	BuildingNumber can not by empty 	Номер будівлі не повинен бути порожнім
20000500633 	BuildingNumber is invalid 	Номер будівлі неправильний
20000500634 	PostCode should be 5 digits length 	Поштовий індекс повинен складатися з 5 цифр.
20000500635 	FindByString can not by empty 	Пошук за рядком не повинен бути порожнім
20000900752 	Ref is not specified 	Не обрано контрагента-замовника
20000500637 	Address not found 	Адресу не знайдено
20000900767 	CityRef is not specified 	Ідентифікатор міста не вказано
20000500639 	StreetRef is not specified 	Ідентифікатор вулиці не вказано
20000500640 	BuildingRef is not specified 	Ідентифікатор Будівлі не вказано
20000500641 	BuildingNumber create error 	Помилка створення параметра номер будинку
20000800728 	CounterpartyRef is not specified 	Ідентифікатор Контрагента не вказано
20000800730 	Counterparty is removed 	Контрагента видалено
20000500644 	Note has invalid characters 	Примітка містить недопустимі символи
20000500645 	Note too long 	Примітка надто довга
20000500646 	AddressName has invalid characters 	Назва адреси містить недопустимі символи
20000500647 	AddressName too long 	Назва адреси занадто довга
20000500648 	Flat has invalid format 	Формат квартири неправильний
20000900768 	City not found 	Місто не знайдене
20000500650 	AddressRef is not specified 	Параметр ідентификатор адреса не вказано
20000500651 	CityName is empty 	Параметр назва міста порожній
20000500652 	CityName has invalid characters 	Параметр назва міста містить недопустимі символи
20000500653 	Limit has invalid characters 	Обмеження містить недопустимі символи
20000500654 	WarehouseFor is invalid 	Параметр "Склад для" неправильний
20000500655 	Sort must be array 	Сортування повинне бути масивом
20000500656 	Invalid sort 	Сортування неправильне
20000500657 	Invalid key 	Ключ неправильний
20000500658 	DateOfLastChange filtering is invalid format 	Дата останньої зміни в неправильному форматі
20000500659 	DateOfLastChange cannot be less then now 	Дата останньої зміни не може бути менше поточної
20001300978 	Ref 	Ідентифікатор
20000500661 	AreaRef 	Ідентифікатор міста
20000500662 	RegionRef 	Ідентифікатор району
20000500663 	SettlementRef 	Ідентифікатор населеного пункту
20000500664 	BuildingRef 	Ідентифікатор будівлі
20000500665 	SettlementStreetRef is not specified 	Ідентифікатор вулиці населеного пункту не вказано
20000500666 	SettlementStreet migration incomplete 	Міграція параметра вулиця населеного пункту не завершена
20000900769 	SettlementRef is not specified 	Ідентифікатор населеного пункту не вказано
20000500669 	PostCode 	Поштовий індекс
20000500670 	Ref Street is incorrect 	Ідентифікатор вулиці неправильний
20000500671 	Ref Locality is incorrect 	Ідентифікатор місцевості неправильний
20000500672 	CityName is required 	Потрібне найменування міста
20000500673 	Index is required 	Потрібен індекс
20000500674 	AddressName is required 	Потрібна адреса
20000500675 	StreetName is empty 	Параметр назва вулиці порожній
20000500676 	StreetName has invalid characters 	Параметр назва вулиці містить неприпустимі символи
30000500677 	Address already exists 	Адреса уже існує
30000500678 	Address already processed 	Адреса вже оброблена
30000500679 	Building already exists 	Будівля уже існує
30000500680 	SettlementBuilding already exists 	Будівля в населеному пункті вже існує
30000500681 	Info used from PostCode 	Інформація використана з поштового індексу
20000600682 	Parent is invalid 	Батько недійсний
20000600683 	CountryRegion is invalid 	Параметр регіон країни недійсний
20000600684 	Settlement is invalid 	Насалений пункт недійсний
20000700688 	LoyaltyCardRef is not specified 	Ідентифікатор картки лояльності не вказано
20000700689 	Incorrect phone number 	Номер телефону неправильний
20000700690 	Incorrect email 	Електронна пошта неправильна
20000700691 	Urgency is empty 	Терміновість порожня
20000700692 	Purpose has invalid characters 	Ціль містить недопустимі символи
20000700693 	Purpose is empty 	Ціль не вказано
20000700694 	TTN is empty 	Товарно-транспортну накладну не вказано
20000700695 	TTN is incorrect 	Товарно-транспортна накладна неправильна
20000700696 	typeOfPartner is empty 	Параметр тип партнеру не вказано
20000700697 	typeOfPartner is incorrect 	Параметр тип партнеру неправильний
20000700698 	fullName is empty 	Параметр повне ім'я не вказано
20000700699 	fullName has invalid characters 	Параметр повне ім'я містить недопустимі символи
20000700700 	fullName too long 	Параметр повне ім'я занадто довгий
20000700701 	companyName is empty 	Назву компанії не вказано
20000700702 	companyName has invalid characters 	Назва компанії містить недопустимі символи
20000700703 	companyName too long 	Назва компанії занадто довга
20000700704 	position is empty 	Позиція порожня
20000700705 	position has invalid characters 	Позиція містить недопустимі символи
20000700706 	position too long 	Позиція занадто довга
20000400707 	Error on becoming Agent 	Помилка під час становлення агентом
20000100907 	Login 	Логін
20000100908 	Password 	Пароль
20000400710 	file name is incorrect 	Найменування файлу неправильне
20000400711 	folder name is incorrect 	Найменування папки неправильне
20000400712 	subfolder name is incorrect or folder is empty 	Найменування підпапки неправильне або папка порожня
20000800713 	PrivatePerson can not create ContactPerson 	Приватна особа не може створити контактну особу
20000800714 	fatal error 201 	fatal error 201 Зверніться до служби підтримки: support@novaposhta.ua
20000800715 	fatal error 202 	fatal error 202 Перевищено допустимий ліміт символів в даних контактної особи
20000800716 	ContactPerson of natural counterparty cannot be removed 	Контактну особу фізичного контрагента не може бути видалено
20000800717 	FindByString is not specified without Ref 	Пошук по рядку не вказується без ідентифікатору
20000800720 	Have not permission to create ContactPerson 	Немає дозволу на створення контактної особи
20000800722 	Changing own phone number is not allowed 	Заборонено змінити власний номер телефону
20000800723 	FirstName has forbidden words 	Ім'я містить заборонені слова
20000800724 	LastName has forbidden words 	Прізвище містить заборонені слова
20000900763 	MiddleName has invalid characters 	По батькові містить некоректні символи
20000900764 	MiddleName too long 	По батькові занадто довге
20000800727 	Full Name is longer then 50 characters 	Повне ім’я довше за 50 символів
20000800729 	CounterpartyRef is incorrect 	Ідентифікатор контрагента неправильний
20000800731 	Info invalid format 	Недійсний формат інформації
20000800732 	Info too long 	Інформація занадто довга
20000800733 	ContactProperty is incorrect 	Властивість контакту неправильна
30000900775 	Counterparty already processed 	Контрагент вже оброблений
20000900735 	You can not edit counterparty legal person 	Ви не можете редагувати юридичну особу-контрагента
20000900736 	fatal error 301 	fatal error 301 Зверніться до служби підтримки: support@novaposhta.ua
20000900737 	fatal error 302 	fatal error 302 Зверніться до служби підтримки: support@novaposhta.ua
20000900738 	fatal error 303 	fatal error 303 Зверніться до служби підтримки: support@novaposhta.ua
20000900739 	fatal error 304 	fatal error 304 Зверніться до служби підтримки: support@novaposhta.ua
20000900740 	You can only create counterparties Recipient 	Ви можете створити лише контрагента одержувача
20000900741 	fatal error 311 	fatal error 311 Зверніться до служби підтримки: support@novaposhta.ua
20000900742 	fatal error 312 	fatal error 312 Зверніться до служби підтримки: support@novaposhta.ua
20000900743 	fatal error 314 	fatal error 314 Зверніться до служби підтримки: support@novaposhta.ua
20000900744 	You can only create counterparties ThirdPerson 	Ви можете створити лише третю особу контрагента
20000900745 	Counterparty clone fail 	Помилка клонування контрагента
20000900749 	ContactRef is invalid 	Ідентифікатор контакту недійсний
20000900750 	Options can not be empty 	Параметри не можуть бути порожніми
20000900751 	Have not permission to create Counterparty 	Немає дозволу на створення контрагента
20000900753 	Can not change type of counterparty 	Не вдається змінити тип контрагента
20000900754 	CounterpartyType is invalid 	Тип контрагенту недыйсний
20000900755 	Email must be empty 	Електронна пошта повинна бути порожньою
20000900756 	Phone must be empty 	Телефон повинен бути порожнім
20000900757 	String too long 	Рядок занадто довгий
20000900758 	FirstName must be empty 	Ім'я повинно бути порожнім
20000900759 	CompanyName is not specified 	Назву організації не вказано
20000900760 	CompanyName is invalid 	Назву організації вказано неправильно
20000900761 	CompanyName has invalid characters 	Назва компанії містить недопустимі символи
20000900762 	CompanyName too long 	Назва компанії занадто довга. Максимальна кількість символів 25
20000900765 	MiddleName must be empty 	По батькові має бути поронім
20000900766 	LastName must be empty 	Прізвище повинно бути порожнім
20000900770 	Settlement convertation failed 	Не вдалося перетворити населений пункт
20000900771 	EDRPOU must be empty 	ЄДРПОУ повинен бути порожнім
20000900772 	CounterpartyProperty is invalid 	Власність контрагента недійсна
20000900773 	EDRPOU is empty 	ЄДРПОУ порожній
20000900774 	Counterparty can not be ThirdPerson 	Контрагент не може бути третьою особою
30000900776 	Counterparty is created 	Контрагента вже створено
30000900777 	Limit can not be more 3000 	Ліміт не може бути більше аніж 3000
30000900778 	Counterparty exists in City 	Контрагент існує в місті
30000900779 	Counterparty is not unique 	Контрагент не є унікальним
20000200780 	Error getting counterparty 	Помилка отримання контрагента
20000200781 	Error creation text address for counterparty 	Помилка створення адреси для контрагента
20000200782 	fatal error 003 	fatal error 003 Зверніться до служби підтримки: support@novaposhta.ua
20000200783 	fatal error 004 	fatal error 004 Зверніться до служби підтримки: support@novaposhta.ua
20000200785 	dublicate ttn 	Дублікат ТТН
20000200787 	fatal error 005 	fatal error 005 Зверніться до служби підтримки: support@novaposhta.ua
20000200788 	fatal error 006 	fatal error 006 Зверніться до служби підтримки: support@novaposhta.ua
20000200790 	fatal error 007 	fatal error 007 Зверніться до служби підтримки: support@novaposhta.ua
20000200791 	Consolidation fatal error 	Зверніться до служби підтримки: support@novaposhta.ua
20000200792 	fatal error 008 	fatal error 008 Зверніться до служби підтримки: support@novaposhta.ua
20000200793 	DeliveryDate error 	Помилка дати доставки
20000200794 	fatal error 001 	fatal error 001 Зверніться до служби підтримки: support@novaposhta.ua
20000200795 	documentTracking service error 	Помилка служби відстеження документів
20000200796 	Error getting settlement id by settlement street id 	Помилка отримання ідентифікатора населеного пункту за ідентифікатором вулиці поселення
20000200797 	Sender settlement street not found 	Вулицю населеного пункту відправника не знайдено
20000200798 	Sender person problem 	Проблема з відправником
20000200799 	Recipient city not found 	Місто одержувача не знайдено
20000200800 	Error creation text address 	Помилка створення текстової адреси
20000200801 	InternetDocumentPartialSaveError 	Помилка часткового збереження інтернет-документа
20000200802 	WDocumentInternetDocumentPartial not found 	Не знайдено інтернет документ
20000200803 	InternetDocumentPartialDeleteError 	Помилка часткового видалення інтернет-документа
20000200804 	CardPay unknown error 	Під час оплати карткою виникла помилка. Спробуйте пізніше.
20000200805 	CardPay document not found 	Інтернет-документ не знайдено
20000200807 	CardPay paysystem order not found 	Замовлення на оплату карткою не знайдено
20000200808 	CardPay paysystem unavailable 	Оплата карткою недоступна
20000200810 	CardPay document already cancelled 	Оплату по інтернет документу скасовано
20000200811 	CardPay confirmed 	Онлайн-оплату підтверджено
20000200812 	CardPay error cancelling 	Помилка скасування оплати карткою
20000200813 	Error 	Помилка
20000200814 	IntDocNumber must be array of integers 	IntDocNumber повинен бути масивом цілих чисел
20000200817 	DeliveryByHandRecipients must be array 	Послуга "Доставка особисто в руки" повинна бути масивом
20000200818 	DeliveryByHandRecipients data is incorrect 	Дані послуги "Доставка особисто в руки" неправильні
20000200819 	User id is empty 	Iдентифікатор користувача відсутній
20000200820 	VipUserRef is empty 	Iдентифікатор VIP-користувача порожній
20000200821 	Phone is required 	Телефон обов'язковий
20000200822 	DateFrom is required 	"Дата від" обов'язкова
20000200823 	DateTo is required 	"Дата до" обов'язкова
20000200824 	DateFrom format is invalid 	Неправильний формат "Дати від"
20000200825 	DateTo format is invalid 	Неправильний формат "Дати до"
20001000921 	Limit is invalid 	Ліміт недійсний
20000200827 	Page is invalid 	Сторінка недійсна
20000200828 	Loyalty Card empty 	Картка лояльності порожня
20000200829 	Loyalty Card not found 	Картку лояльності не знайдено
20000200830 	Phone does not belong to LoyaltyCard Phone 	Телефон не належить до телефону картки лояльності
20000200831 	Document is payed 	ЕН вже оплачено, змінити суму неможливо. За потреби створіть нову ЕН.
20000200832 	Invalid param RecipientContactPersonAddress 	Неправильний параметр найменування адреси контактної особи одержувача
20000200833 	RecipientContactPersonAddress not found in internet address 	Адресу контактної особи одержувача не знайдено
20000200835 	RecipientAddressCity does not belong to AddressCity 	Місто одержувача не належить до списку міст
20000200836 	RecipientAddressCityRef is incorrect 	Ідентифікатор міста одержувача некоректний
20000200837 	Weight is not allowed for Documents 	Вага недопустима для типу "Документи"
20000200838 	SameDayDelivery is available only for Recipient Doors 	Доставка в той же день доступна лише до дверей одержувача
20000200839 	SameDayDelivery is unavailable from warehouse 	Доставка в той же день недоступна з відділення
20000200840 	SameDayDelivery is unavailable for selected route 	Доставка в той же день недоступна для вибраного маршруту
20000200841 	You can not use BackwardDelivery with this postomat 	Послуга "Зворотна доставка" у Поштоматі недоступна
20000200842 	UserActions must be defined 	Дії користувача повинні бути визначені
20000200843 	You don't have the service SubtypesDocuments 	У вас немає послуги підтипів документів
20000200844 	InternationalDeliveryType is invalid 	Тип міжнародної доставки недійсний
20000200845 	CardPay Documents required 	Не обрано документів для оплати картою
20000200846 	CardPay Documents must be array 	Документи на оплату карткою повинні бути масивом
20000200847 	CardPay too many Documents 	Занадто багато документів для оплати карткою
20000200848 	CardPay Document invalid 	Документ недійсний
20000200849 	CardPay Language invalid 	Мова недійсна
20000200850 	CardPay payed 	ЕН вже оплачена
20000200851 	CardPay only one warehouse sender allowed 	Оплата карткою дозволена лише одному відправнику
20000200852 	CardPay invalid ServiceType 	Нажаль, тимчасово відсутня можливість оплачувати ЕН, в котрих тип послуги Адреса-Відділення чи Адреса-Адреса.
20000200853 	CardPay invalid PayerType 	Недійсний тип платника
20000200854 	CardPay invalid PaymentMethod 	Недійсний спосіб оплати
20000200855 	CardPay Document required 	Не обрано документ для оплати картою
20000200856 	CardPay ShopOrderNumber required 	Параметр номер замовлення не може бути пустим
20000200857 	CardPay invalid system 	Недійсна система
20000200861 	CardPay Documents must be array with one element 	Документи повинні бути масивом з одним елементом
20000200862 	CardPay Document item invalid 	Неповний номер документу
20000200863 	CardPay document not payed 	Не вдалося відмінити оплату. Спробуйте, будь ласка, ще раз.
20000200864 	CardPay document in order 	Не єдиний документ в замовленні на відміну оплати
20000200865 	SettlementType is invalid 	Невірний формат типу населеного пункту
20000200866 	This SettlementType does not exist 	Тип населеного пункту не існує
20000200867 	IntDocNumber is invalid 	Номер інтернет документу недійсний
20000200868 	Ref or IntDocNumber required 	Потрібно ідентифікатор або номер інтернет документу
20000200869 	Forbidden params used 	Використовуються заборонені параметри
20000200870 	ConsolidationDetails is required 	Потрібні деталі консолідації
20000200871 	ConsolidationDetails must be array 	Деталі консолідації мають бути масивом
20000200872 	ConsolidationNumber is invalid 	Номер консолідації недійсний
20000200873 	ConsolidationSeat is invalid 	Місце консолідації недійсне
20000200874 	ConsolidationAmount is invalid 	Сума консолідації недійсна
20000200875 	ContainerNumber has invalid characters 	Номер контейнера містить недійсні символи
20000200876 	ContainerNumber length is incorrect 	Довжина номера контейнера неправильна
20000200877 	LabelNumber has invalid characters 	Номер етикетки містить недійсні символи
20000200878 	LabelNumber length is incorrect 	Довжина номера етикетки неправильна
30000200879 	RecipientType is set to PrivatePerson 	Тип одержувача встановлено як Приватна особа
30000200880 	DateTime is set to current 	Дату створення встановлено як поточну
30000200881 	Weight is changed 	Вага змінено
30000200882 	SeatsAmount is changed 	Кількість місць змінено
30000200883 	Description is changed 	Опис змінено
30000200884 	Cost is changed 	Вартість змінено
30000200885 	DeliveryByHand must be empty when delivered at warehouse 	Доставка вручну повинна бути порожньою у разі доставки у відділення
30000200886 	SaturdayDelivery is changed 	Доставка в суботу змінена
30000200887 	NumberOfFloorsLifting is free under 30kg 	Послуга "Підйом на поверх" для ваги до 30 кг безкоштовна
30000200888 	VolumeWeight is changed 	Об'ємна вага порожня
30000200889 	VolumeGeneral is changed 	Загальний об'єм змінено
30000200890 	CitySender is changed on empty 	Місто відправника змінено на порожнє значення
30000200891 	Sender is changed on empty 	Відправника змінено на порожнє значення
30000200892 	SenderAddress is changed on empty 	Адресу відправника змінено на порожнє значення
30000200893 	ContactSender is changed on empty 	Контакт відправника змінено на порожнє значення
30000200894 	SendersPhone is changed on empty 	Телефон відправника змінено на порожнє значення
30000200895 	CityRecipient is changed on empty 	Місто одержувача змінено на порожнє значення
30000200896 	Recipient is changed on empty 	Одержувача змінено на порожнє значення
30000200897 	RecipientAddress is changed on empty 	Адресу одержувача змінено на порожнє значення
30000200898 	ContactRecipient is changed on empty 	Контакт одержувача змінено на порожнє значення
30000200899 	RecipientPhone is changed on empty 	Телефон одержувача змінено на порожнє значення
30000200900 	Type should be PDF or HTML 	Тип повинен бути PDF або HTML
30000200901 	CitySender Ref was overwritten by ZipCode data 	Ідентифікатор міста відправника було замінено даними поштового індексу
30000200902 	CityRecipient Ref was overwritten by ZipCode data 	Ідентифікатор міста отримувача був замінений даними поштового індексу
30000200903 	Building not found in Catalog Buildings 	Будівлю не знайдено в Каталозі бідівель
30000200904 	Building not defined 	Будівлю не визначено
20001400980 	Unknown error 	Сервіс тимчасово недоступний
20000100909 	CardNumber is incorrect 	Номер картки неправильний
20000100910 	Fatal Error 505 	fatal error 505 Зверніться до служби підтримки: support@novaposhta.ua
20000100911 	Password and Phone are empty 	Пароль і телефон порожні
20000100912 	DateFrom and DateTo must be specified 	Дата від і Дата до повинні бути вказані
20000100913 	DateFrom incorrect format 	Дата від містить неправильний формат
20000100914 	DateTo incorrect format 	Дата до містить неправильний формат
20000100915 	CardNumber is empty or incorrect 	Номер картки порожній або неправильний
20000100916 	Enter the Email that you used when registering 	Введіть e-mail, який ви використовували при реєстрації
20000100917 	Card is not exist 	Карту не знайдено
30000100918 	SMS with activation code has been sent 	SMS з кодом активації надіслано
30000100919 	LoyaltyEmail is empty 	Електронна адреса лояльності порожня
30000100920 	LoyaltyPhone is empty 	Телефон лояльності не вказано
20001000922 	Language is invalid 	Мова недійсна
20001000923 	Rubric is invalid 	Розділ недійсний
20001100924 	LoyaltyCard not found 	Карту лояльності не знайдено
20001100925 	Save error 	Помилка зберігання
20001100926 	Phone has invalid format 	Телефон має недійсний формат
20001100927 	LoyaltyCardNumber is empty 	Номер картки лояльності порожній
20001100928 	LoyaltyCardNumber is invalid 	Номер картки лояльності недыйсний
20001100929 	PhoneNumber invalid format 	Невірний формат номеру телефону
20001100930 	PromotionRef is not specified 	Ідентифікатор акціїї не вказано
20001100931 	PromotionRef is invalid 	Некоректно вказано ідентифікатор акції
20001100932 	Promotion not found 	По ідентифікатору не знайдено акцію
20001200933 	RecipientPhone is invalid 	Телефон одержувача недійсний
20001200934 	SeatsAmountFrom can not be more than CostTo 	Вартість від не може перевищувати вартість до
20001200935 	CostOnSiteFrom can not be more than CostTo 	Вартість на сайті від не може бути більшою за вартість до
20001200936 	CostFrom can not be more than CostTo 	Вартість від не може бути більшою за вартість до
20001200937 	WeightFrom can not be more than WeightTo 	Вага від не можу бути більшою за вагу до
20001200938 	dateCreatedFrom is invalid 	Дата створення від недійсна
20001200939 	dateCreatedFrom can not be more than dateCreatedTo 	Дата створення від не може бути більшою за дату створення до
20001200940 	dateCreatedTo is invalid 	Дата створення до недійсна
20001200941 	dateSendedFrom is invalid 	Дата "Надіслано з" недійсна
20001200942 	dateSendedFrom can not be more than dateSendedTo 	Дата "Надіслано з" не може бути більшою за дату "Надіслано до"
20001200943 	dateSendedTo is invalid 	Дата "Надіслано до" недійсна
20001200944 	dateDeliveredFrom is invalid 	Дата доставки від недійсна
20001200945 	dateDeliveredFrom can not be more than dateDeliveredTo 	Дата доставки від не може бути більшою за дату достовки до
20001200946 	dateDeliveredTo is invalid 	Дата доставки до недійсна
20001200947 	dateReceiptFrom is invalid 	"Дата отримання з" недвйсна
20001200948 	dateReceiptFrom can not be more than dateDeliveredTo 	"Дата отримання з" не може бути більшою за "Дату отримання до"
20001200949 	dateReceiptTo is invalid 	"Дата отримання до" недійсна
20001300950 	Update ScanSheet description error 	Помилка опису при оновленні реєстру
20001300951 	Was an error 3 	Was an error 3 Зверніться до служби підтримки: support@novaposhta.ua
20001300952 	Was an error 0001 	Was an error 0001 Зверніться до служби підтримки: support@novaposhta.ua
20001300953 	Was an error 2 	Was an error 2 Зверніться до служби підтримки: support@novaposhta.ua
20001300954 	Update ScanSheet error 	Помилка оновлення реєстру
20001300955 	Was an error 001 	Was an error 001 Зверніться до служби підтримки: support@novaposhta.ua
20001300956 	Was an error 002 	Was an error 002 Зверніться до служби підтримки: support@novaposhta.ua
20001300957 	Was an error 	Was an error Зверніться до служби підтримки: support@novaposhta.ua
20001300958 	Was an error 1001 	Was an error 1001 Зверніться до служби підтримки: support@novaposhta.ua
20001300959 	Was an error 1002 	Was an error 1002 Зверніться до служби підтримки: support@novaposhta.ua
20001300960 	ScanSheet is empty 	Реєстр пустий
20001300961 	ScanSheet not found 	Реєстр не знайдено
20001300962 	No documents found 	Документів не знайдено
20001300963 	Documents is empty 	Документи не заповнені
20001300964 	Documents should be array 	Документи повинні бути масивом
20001300965 	Document should have Ref or Number 	Документ повинен мати ідентифікатор або номер
20001300966 	Ref should be string 	Ідентифікатор повинен бути рядком
20001300967 	Date should be string 	Дата має бути рядком
20001300968 	ScanSheet not found by owner 	Реєстр не знайдено власником
20001300969 	Ref or Number must be specified 	Необхідно вказати ідентифікатор або номер
20001300970 	Number is invalid 	Некорректний номер
20001300971 	ScanSheetRefs is empty 	Ідентифікатори реєстрів не заповнені
20001300972 	ScanSheetRefs must be array 	Ідентифікатори реєстрів мають біти масивом
20001300973 	Ref is empty 	Ідентифікатор не заповнено
20001300974 	Description is empty 	Опис не заповнено
20001300975 	DocumentRefs is empty 	Ідентифікатор документу не заповнено
20001300976 	DocumentRefs must be array 	Ідентифікатор документу має бути масивом
20001300977 	Type is invalid 	Тип некоректний
20001500981 	Error save address 	Помилка збереження адреси
20001500982 	Error save Counterparty address for counterparty 	Неможливо зберегти адресу
20001500983 	This Contact persone doesn't has this address 	Адреса не належить цьому користувачу
20001500984 	ContactPersonRef is empty 	Ідентифікатор контактної особи не заповнено
20001500985 	ContactPersonRef is incorrect 	Некоректно вказано ідентифікатор контактної особи
20001500986 	You don't have this Contact person 	У вас немає цієї контактної особи
20001500987 	AddressType is empty 	Тип адреси не заповнено
20001500988 	AddressType is incorrect 	Тип адреси некоректний
20001500989 	SettlementRef is empty 	Ідентифікатор населеного пункту не заповнено
20001500990 	SettlementRef is incorrect 	Ідентифікатор населеного пункту не коректний
20001500991 	Settlement not found 	Неселений пункт не знайдено
20001500992 	Can't find CityRef in old addresses system for Sender 	Не вдається знайти ідентифікатор міста у системі старих адрес для відправника
20001500993 	Type is incorrect 	Тип некоректний
20001500994 	AddressRef is incorrect 	Ідентифікатор адреси некоректний
20001500995 	Can't find StreetRef in old addresses system for Sender 	Не вдається знайти ідентифікатор вулиці у системі старих адрес для відправника
20001500996 	AddressRef is empty 	Не вказано адресу
20001500997 	Can't find BuildingRef in old addresses system for Sender 	Не вдається знайти ідентифікатор будівлі у системі старих адрес для відправника
20001500998 	Flat is incorrect 	Номер квартири вказано некоректно
20001500999 	Floor is incorrect 	Поверх вказано неправильно
20001501000 	Description is incorrect 	Опис неправильний
20001501001 	Note is incorrect 	Зауваження неправильне
20001501002 	AddressName is incorrect 	Адреса неправильна
30001501003 	Contact person already has this address 	Контактна особа вже має цю адресу
20000101004 	Please, complete the email registration process 	Будь ласка, завершіть процес реєстрації. Підтвердіть ваш E-mail, перейшовши за посиланням з листа.
20000301005 	Error occurred. Try again later 	Виникла помилка. Повторіть спробу
20000301006 	No data changes. Document not saved 	Немає зміни даних. Документ не збережено
20000301007 	Error: wrong format. Documents must be array 	Виникла помилка: неправильний формат. Документи повинні бути масивом
30000301008 	Caution! Cost of services increased 	Обережно! Вартість послуг збільшилася
30000301009 	Caution! Cost of services decreased. Contact your branch to obtain a difference and make a request for refund 	Обережно! Вартість послуг знизилася. Зв'яжіться з Вашим відділенням, щоб дізнатися різницю і отримати відшкодування
30000301010 	Caution! Cost of services decreased 	Обережно! Вартість послуг знизилася
30000301011 	Caution! Cost of services increased. Report Recipient about it 	Обережно! Вартість послуг збільшилася. Повідомити про це одержувачу
30000301012 	Caution! Cost of services decreased. Report Recipient about it 	Обережно! Вартість послуг знизилася. Повідомити про це одержувачу
20001501013 	Warehouse doesn't exists 	Відділення не існує
20001501014 	Street doesn't exists in this city 	Вулиці в цьому місті немає
20000501016 	Address doesn't exists 	Адреси не існує
20000501017 	Failed to convert Settlement to City. Code 001 	Не вдалося перетворити населений пункт у місто. Код 001
20000501018 	Couldn't find data for your query 	Не вдалося знайти дані по вашому запиту
20000501019 	To big Limit. Max 20 	Ліміт перевищено. Макс 20
20000501020 	AreaRef should be filled 	Ідентификатор області варто заповнити
20000501021 	AreaRef is invalid 	Ідентификатор області недійсний
20000501022 	AreaRef not found 	Ідентификатор області не знайдено
20000501023 	RegionRef is invalid 	Ідентифікатор регіону недійсний
20000501024 	RegionRef not found 	Ідентифікатор регіону не знайдено
20000501025 	BuildingRef is invalid 	Ідентифікатор будівлі недійсний
20000501026 	PostCode can not be empty 	Поштовий індекс не може бути порожнім
20000501027 	City doesn't exists 	Міста не існує
20000501028 	Street doesn't exists 	Вулиці не існує
20000501029 	Street does not belong to counterparty's city 	Вулиця не належить місту контрагента
20000501030 	Building doesn't exists 	Будинку не існує
20000901044 	Counterparty doesn't exists 	Контрагента не існує
20000501032 	SettlementStreet doesn't exists 	Вулиці в населенному пункті не існує
30000501033 	This street doesn't exists in Old Catalog 	Цією вулиці немає в старому каталозі
20000401034 	Wrong password 	Неправильний пароль
20000401035 	Email not activated 	Електронна пошта не активована
20000401036 	Not applied changes 	Зміни не застосувалися
20000401037 	Sender`s phone is empty 	Телефон відправника порожній
20000401038 	Sender`s phone is incorrect 	Телефон відправника невірний
30000401039 	Language not found. 	Мови не знайдено
30000401040 	User does not exist, public method returned 	Користувач не існує, повернуто загальнодоступний метод
20000801041 	ContactPerson doesn't exists 	Контактної особи не існує
30000801043 	Person already exists! 	Ця особа вже існує!
20000901045 	You can not delete the sender's counterparty 	Ви не можете видалити контрагента відправника
20000901046 	CounterpartyProperty can't be empty 	Властивості контрагента не можуть бути порожніми
30000901047 	EDRPOU', 'Counterparty is not unique 	ЄДРПОУ, контрагент не є унікальним
30000901048 	EDRPOU 	ЄДРПОУ
20000201051 	Calculate error. Please try again 	Виникла помилка. Будь ласка, повторіть спробу
20000201052 	Document doesn't exists 	Документа не існує
20000201053 	For one or more documents is not available 	Для одного або декількох документів недоступно
20000201055 	Sender city not found or duplicate. 	Місто відправника не знайдено або продубльовано.
20000201056 	Sender counterparty name not found. 	Ім'я контрагента відправника не знайдено.
20000201057 	Sender warehouse not found. 	Відділення відправника не знайдено.
20000201058 	Recipient counterparty creation problem. 	Проблема створення контрагента-одержувача.
20000201059 	Recipient counterparty person creation problem. 	Помилка створення контрагента-отримувача
20000201060 	RecipientCounterpartyOwnershipForm not found. 	Форму власності одержувача не знайдено.
20000201061 	Recipient ownership form detection problem. 	Проблема з визначенням форми власності одержувача.
20000201062 	RecipientCounterpartyType not found. 	Тип контрагента отримувача не знайдено.
20000201063 	Recipient warehouse not found. 	Відділення отримувача не знайдено.
20000201064 	PayerThirdPersonEDRPOU EDRPOU not found. 	ЄДРПОУ третьої особи платника не знайдено.
20000201065 	PayerThirdPersonCity city not found. 	Місто третьої особи платника не знайдено.
20000201066 	PayerThirdPersonCity parameter cannot be empty. 	Параметр третьої особи платника не може бути порожнім.
20000201069 	Update fail - document not found. 	Помилка оновлення - документ не знайдено.
20000201077 	Document processed 	Документ оброблений
20000201078 	You can not use parameter "Place" for multiple documents 	Ви не можете використовувати параметр «Місце» для кількох документів.
20000201079 	DocumentRefs is invalid 	Ідентифікатор документу недійсний
20000201080 	PackCount must be integer 	Кількість пакування має бути цілим числом.
20000201081 	PackRef is required 	Ідентифікатор пакування обов'язковий
20000201082 	PackRef is incorrect 	Ідентифікатор пакування неправильний
20000201083 	CargoType is empty 	Тип вантажу порожній
20000201084 	CargoType is incorrect 	Тип вантажу неправильний
20000201085 	Amount is incorrect 	Сума неправильна
20000201093 	Format is incorrect 	Формат неправильний
20000201094 	Certificate is incorrect 	Сертифікат неправильний
